Country Code,"Annual Inflation (21,22,23,24)",Effective Inflation Rate from Nov 2021 to Mar 2024,Country
ALB,"3.7, 7.4, 3.8, 3.6",13.15437924313867,Albania
DZA,"8.5, 9.3, 8, 6.8",21.644278536321803,Algeria
AGO,"27, 13.8, 17.2, 25.6",46.93251209090106,Angola
ATG,"1.2, 9.2, 4, 2.5",14.498649109671934,Antigua and Barbuda
ABW,"3.6, 5.7, 3.2, 2.2",10.325871758299442,Aruba
AZE,"12, 14.4, 6.3, 5",25.446808687090105,Azerbaijan
BRB,"2.2, 5.7, 5, 3.6",12.377502114550708,Barbados
BLR,"10, 12.9, 3.4, 3.7",19.690023056582294,Belarus
BLZ,"4.9, 6.7, 2, 1.2",10.032834483477737,Belize
BEN,"5, 2.9, 5, 2.5",9.60167466477435,Benin
BOL,"0.9, 3.1, 3.6, 3.8",7.97327807463748,Bolivia
BIH,"6.3, 14.8, 2.2, 2.1",19.14379524394574,Bosnia and Herzegovina
SWZ,"3.5, 5.6, 5.6, 4.3",13.34150413820372,Eswatini
ETH,"35.1, 33.8, 24.5, 18.5",82.73887374945947,Ethiopia
FRA,"3.3, 7, 4, 1.9",12.411493158453046,France
DEU,"5.8, 9.8, 4.1, 2.8",16.180246318297108,Germany
GRD,"1.9, 2.9, 3.4, 2.6",7.419992499524497,Grenada
GTM,"3.1, 9.2, 5.4, 4.6",16.991941420735657,Guatemala
GNB,"5.8, 9.5, 1.8, 3",13.357992956544873,Guinea-Bissau
GUY,"5.7, 7.2, 3.8, 5.5",13.819782575793038,Guyana
HND,"5.3, 9.8, 5.3, 4.2",17.82452643583372,Honduras
HKG,"2.4, 2, 2.6, 2.3",5.665472745984879,Hong Kong SAR
IND,"6.3, 6.2, 4.9, 4.4",13.762031895988658,India
IRQ,"5.3, 4.3, 5, 3",11.280988687872817,Iraq
IDN,"1.9, 5.5, 2.3, 2.5",8.935999809473882,Indonesia
IRN,"34.3, 54, 40, 25",139.45409135706092,Iran
IRL,"5.6, 8.1, 3.4, 2.6",13.521222478575169,Ireland
ISR,"2.8, 5.3, 3.6, 2.6",10.299569968022526,Israel
JPN,"0.5, 3.9, 2.7, 2.6",7.481530408938486,Japan
KEN,"5.7, 9.1, 7.1, 6.5",19.8020146010915,Kenya
UVK,"6.7, 12.2, 1.5, 3.7",16.170981379891593,Kosovo
LAO,"5.3, 39.3, 16.9, 3",65.46761060689381,Lao P.D.R.
LVA,"7.9, 20.7, 4.6, 4.3",29.2152005137712,Latvia
LSO,"7.2, 7.9, 5.9, 5",17.016524168381796,Lesotho
LBR,"5.5, 9.2, 12.1, 6",25.32281089677697,Liberia
LTU,"10.7, 20, 3.5, 3.1",27.289974350663336,Lithuania
LUX,"5.6, 6.3, 4.2, 1.7",12.247120323503857,Luxembourg
BDI,"10.1, 26.6, 12.3, 22.4",51.95793023677362,Burundi
CMR,"3.5, 7.3, 6.3, 3.7",15.76245646537604,Cameroon
CAN,"4.7, 6.6, 2.7, 2.1",10.894123021191682,Canada
TCD,"1, 8.3, 4.6, 3.1",14.33917030029832,Chad
CHL,"7.1, 12.8, 4.5, 3",20.11565339673531,Chile
COL,"5.6, 13.1, 8.8, 4.5",25.549376208940487,Colombia
COM,"7.1, 20.6, 0.7, 1.6",23.328973609045445,Comoros
CIV,"5.6, 5.1, 2.8, 2",9.569545453811745,Côte d'Ivoire
CZE,"6.6, 15.8, 8.3, 2.2",27.445921185837506,Czech Republic
DJI,"2.5, 3.6, 2.2, 2.5",6.974170720534256,Djibouti
ECU,"1.9, 3.7, 2.4, 1.5",6.91966456528732,Ecuador
EGY,"4.9, 13.2, 35.7, 25.9",64.01942626147023,Egypt
SLV,"6.1, 7.3, 3.1, 1.7",12.195263478406693,El Salvador
EST,"12, 17.5, 5.2, 3.6",27.085660100937602,Estonia
FJI,"3, 3.1, 4.5, 2.6",8.968590501594665,Fiji
FIN,"3.2, 8.8, 4.5, 1.9",14.833521023562014,Finland
GAB,"1.7, 5.4, 3, 2.4",9.514842664079248,Gabon
GEO,"13.9, 9.8, 0.8, 3",13.944350993282995,Georgia
GHA,"12.6, 54.1, 31.3, 15",113.71330306844452,Ghana
GRC,"4.4, 7.6, 2.9, 2.7",12.26309385850637,Greece
GIN,"12.5, 8.6, 8, 7.8",21.880349623383722,Guinea
HTI,"13.1, 38.7, 30.1, 12.7",89.77769645022366,Haiti
HUN,"7.4, 24.5, 8.2, 5.4",38.12558969389293,Hungary
ISL,"5.1, 9.6, 7.3, 4",19.748219188108163,Iceland
AFQ,"13.2, 15.7, 20.8, 14.2",47.49972944163723,
SSQ,"17.6, 18.3, 19.9, 12.8",50.18126435167234,
APQ,"4.3, 6.8, 5.4, 5",14.75102488464788,
AZQ,"4, 7.7, 4.4, 3.3",14.098562327912735,
CBQ,"9.2, 15.2, 9.6, 6",30.004965174002173,
CMQ,"5.1, 7.3, 3.4, 3.5",12.838109372336714,
CAQ,"27.5, 47.2, 44.9, 38.2",140.81760729035526,
EAQ,"1.5, 2.4, 1.4, 2",4.608175686382632,
EEQ,"8.2, 14.9, 6.7, 4.9",25.71377378768689,
EUQ,"5.9, 10.8, 4.5, 3.3",17.85023636633367,
MEQ,"11.3, 14.7, 12.6, 8.5",34.18638003252297,
NAQ,"5.4, 11.1, 22.3, 16.8",42.49774610909298,
NMQ,"7.2, 6.6, 3.1, 2.6",11.901310943475174,
PIQ,"4.9, 3.9, 5.5, 4.2",11.634265248901654,
SAQ,"6.7, 8.6, 7.5, 5.9",19.71714448894255,
SEQ,"2.5, 6.1, 3, 2.8",10.493873397196985,
WEQ,"4.9, 9.1, 3.6, 2.6",14.66580585506103,
WHQ,"8.4, 8.8, 6.1, 4.4",18.265376205522376,
